11111 AAIG	11112 AAIJ	11113 AAMV	11114 AAOU	11115 AAPK	11116 AATF
11121 AAYU	11122 ABDN	11123 ABIH	11124 ABKZ	11125 ABMU	11126 ABNV
11131 ABRB	11132 ABSM	11133 ABSR	11134 ABVR	11135 ABZJ	11136 ACAO
11141 ACDF	11142 ACGZ	11143 ACIU	11144 ACLP	11145 ACLX	11146 ACNN
11151 ACNX	11152 ACQJ	11153 ACRB	11154 ACTW	11155 ACVI	11156 ADCC
11161 ADDR	11162 ADFX	11163 ADGD	11164 ADGQ	11165 ADIO	11166 ADNX
11211 AEBA	11212 AEBN	11213 AEER	11214 AEFX	11215 AEGG	11216 AEGP
11221 AEMK	11222 AEPO	11223 AESF	11224 AEVI	11225 AEZQ	11226 AFAM
11231 AFCQ	11232 AFCW	11233 AFFM	11234 AFFQ	11235 AFGI	11236 AFNH
11241 AFNQ	11242 AFNS	11243 AFQT	11244 AFQV	11245 AFRV	11246 AFTI
11251 AFZY	11252 AGCL	11253 AGCN	11254 AGES	11255 AGIO	11256 AGJQ
11261 AGMC	11262 AGQG	11263 AGTK	11264 AGXE	11265 AGZU	11266 AHCU
11311 AHDP	11312 AHEG	11313 AHEJ	11314 AHHM	11315 AHOS	11316 AHQS
11321 AHRF	11322 AHTE	11323 AHWH	11324 AHXQ	11325 AHZS	11326 AHZW
11331 AIBB	11332 AICG	11333 AINV	11334 AINX	11335 AIOO	11336 AIQD
11341 AIXU	11342 AIYD	11343 AJAW	11344 AJBE	11345 AJCE	11346 AJCU
11351 AJCX	11352 AJEM	11353 AJHO	11354 AJHW	11355 AJID	11356 AJJK
11361 AJKN	11362 AJOY	11363 AJPS	11364 AJQC	11365 AJQS	11366 AJSM
11411 AJTP	11412 AJUW	11413 AJXM	11414 AKAN	11415 AKDI	11416 AKDY
11421 AKGF	11422 AKGI	11423 AKGU	11424 AKHC	11425 AKIC	11426 AKLS
11431 AKNQ	11432 AKPY	11433 AKUP	11434 AKVQ	11435 AKYZ	11436 ALCR
11441 ALDR	11442 ALGN	11443 ALID	11444 ALJA	11445 ALJC	11446 ALJF
11451 ALJX	11452 ALMK	11453 ALMO	11454 ALNY	11455 ALON	11456 ALPX
11461 ALSJ	11462 ALUT	11463 ALVT	11464 ALWL	11465 ALWV	11466 ALYB
11511 AMAT	11512 AMAY	11513 AMDQ	11514 AMFM	11515 AMFS	11516 AMHH
11521 AMLH	11522 AMNE	11523 AMNS	11524 AMPW	11525 AMQX	11526 AMSF
11531 AMSJ	11532 AMZR	11533 ANAP	11534 ANFA	11535 ANFG	11536 ANGX
11541 ANHX	11542 ANIN	11543 ANLT	11544 ANMV	11545 ANVB	11546 ANXF
11551 ANXR	11552 ANYF	11553 AOAN	11554 AOBB	11555 AOFK	11556 AOHM
11561 AOJH	11562 AOJP	11563 AOJW	11564 AOML	11565 AOQG	11566 AOQW
11611 AORF	11612 AOTY	11613 AOXN	11614 APFX	11615 APGC	11616 APHJ
11621 APJJ	11622 APJV	11623 APKC	11624 APMK	11625 APOA	11626 APOC
11631 APOZ	11632 APPA	11633 APQB	11634 APQM	11635 APRG	11636 APUD
11641 APVD	11642 APYV	11643 AQAH	11644 AQOT	11645 AQPC	11646 AQUG
11651 AQYK	11652 AQYX	11653 AQZR	11654 ARAN	11655 ARIK	11656 ARJG
11661 ARJS	11662 ARLE	11663 ARMR	11664 ARNL	11665 AROG	11666 ARSA

12111 ARVR	12112 ARYE	12113 ASAV	12114 ASCM	12115 ASJT	12116 ASML
12121 ASPM	12122 ASPQ	12123 ASTG	12124 ASTH	12125 ASUW	12126 ASXB
12131 ASXK	12132 ASZA	12133 ASZD	12134 ATBK	12135 ATEK	12136 ATJE
12141 ATNM	12142 ATOX	12143 ATSW	12144 ATUH	12145 ATVL	12146 ATXW
12151 ATZY	12152 AUAV	12153 AUCN	12154 AUEZ	12155 AUFQ	12156 AUIY
12161 AUKJ	12162 AUQH	12163 AUTC	12164 AUUE	12165 AVET	12166 AVGS
